measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),United States of America,Both,Age-standardized,Asthma,Rate,2019,436.01407547617254,616.0825240334891,298.10352632471773
DALYs (Disability-Adjusted Life Years),Iceland,Both,Age-standardized,Asthma,Rate,1990,423.3159911407277,595.6856568587366,292.8875640728888
DALYs (Disability-Adjusted Life Years),Yemen,Both,Age-standardized,Asthma,Rate,2019,531.2316411212255,689.1050150866464,404.6206398808947
DALYs (Disability-Adjusted Life Years),Uganda,Both,Age-standardized,Asthma,Rate,2019,482.30433188478685,648.8061250293116,364.4295987677361
DALYs (Disability-Adjusted Life Years),Republic of Moldova,Both,Age-standardized,Asthma,Rate,2019,120.39629290741321,179.03044568482554,79.16307995712005
DALYs (Disability-Adjusted Life Years),Lebanon,Both,Age-standardized,Asthma,Rate,2019,277.30815238240575,366.03324817490017,205.822865418225
DALYs (Disability-Adjusted Life Years),Comoros,Both,Age-standardized,Asthma,Rate,2019,418.3379355319402,542.9662841304527,319.2594399343207
DALYs (Disability-Adjusted Life Years),China,Both,Age-standardized,Asthma,Rate,2019,102.80704953104687,147.42432524895864,72.29930995338722
DALYs (Disability-Adjusted Life Years),New Zealand,Both,Age-standardized,Asthma,Rate,2019,283.86516641927426,416.199916322604,193.01158950293413
DALYs (Disability-Adjusted Life Years),Grenada,Both,Age-standardized,Asthma,Rate,2019,337.9052453681938,486.80168275418237,229.60009357613546
DALYs (Disability-Adjusted Life Years),Colombia,Both,Age-standardized,Asthma,Rate,2019,153.12717107788833,230.30289856591307,100.58664993765542
DALYs (Disability-Adjusted Life Years),Serbia,Both,Age-standardized,Asthma,Rate,1990,245.988816510103,316.52908742067046,193.14841743446914
DALYs (Disability-Adjusted Life Years),Solomon Islands,Both,Age-standardized,Asthma,Rate,2019,933.1250400904821,1182.3362566170906,688.9475327743877
DALYs (Disability-Adjusted Life Years),Mauritania,Both,Age-standardized,Asthma,Rate,2019,375.9876377610471,481.5157798909459,280.75243208067224
DALYs (Disability-Adjusted Life Years),Indonesia,Both,Age-standardized,Asthma,Rate,1990,797.6198853814528,954.6696799599425,661.0451374984669
DALYs (Disability-Adjusted Life Years),Bermuda,Both,Age-standardized,Asthma,Rate,1990,302.15984895775904,414.27186237765494,216.876779973152
DALYs (Disability-Adjusted Life Years),El Salvador,Both,Age-standardized,Asthma,Rate,1990,644.1644839010977,825.3626343243959,485.3975543841148
DALYs (Disability-Adjusted Life Years),Cabo Verde,Both,Age-standardized,Asthma,Rate,1990,559.418093821336,667.0293635935863,379.48223796215564
DALYs (Disability-Adjusted Life Years),Algeria,Both,Age-standardized,Asthma,Rate,1990,560.1687793613726,703.3499788246784,434.4508963270941
DALYs (Disability-Adjusted Life Years),Tajikistan,Both,Age-standardized,Asthma,Rate,2019,224.26903002053731,279.0172506969642,175.22577242034444
DALYs (Disability-Adjusted Life Years),Niger,Both,Age-standardized,Asthma,Rate,1990,996.3610109622244,1251.9983211567805,749.025858149715
DALYs (Disability-Adjusted Life Years),Democratic Republic of the Congo,Both,Age-standardized,Asthma,Rate,1990,873.5410322416832,1305.154039810458,583.955848879504
DALYs (Disability-Adjusted Life Years),Kenya,Both,Age-standardized,Asthma,Rate,1990,456.63861182772297,682.6212530356377,327.2110740375787
DALYs (Disability-Adjusted Life Years),Romania,Both,Age-standardized,Asthma,Rate,1990,260.50599399135615,354.1219957999735,190.78882214259974
DALYs (Disability-Adjusted Life Years),Libya,Both,Age-standardized,Asthma,Rate,2019,298.06625903509877,386.80148065136484,226.85333226231361
DALYs (Disability-Adjusted Life Years),Mauritius,Both,Age-standardized,Asthma,Rate,1990,940.2083857827979,1044.359289569818,825.2420635990507
DALYs (Disability-Adjusted Life Years),Haiti,Both,Age-standardized,Asthma,Rate,2019,737.4080176915029,978.640851781434,524.7994497665753
DALYs (Disability-Adjusted Life Years),Eritrea,Both,Age-standardized,Asthma,Rate,2019,566.112734084542,744.4560064221223,412.55603110808323
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,Asthma,Rate,1990,490.55605901544476,672.3471015691705,348.50099953707837
DALYs (Disability-Adjusted Life Years),United Kingdom,Both,Age-standardized,Asthma,Rate,2019,387.04072404804333,566.0968551725539,255.47184467380313
DALYs (Disability-Adjusted Life Years),Russian Federation,Both,Age-standardized,Asthma,Rate,1990,312.45119154806883,399.6512456345163,244.22324303264355
DALYs (Disability-Adjusted Life Years),Zambia,Both,Age-standardized,Asthma,Rate,2019,365.35976517042684,457.50953146949354,285.13054415146496
DALYs (Disability-Adjusted Life Years),Burkina Faso,Both,Age-standardized,Asthma,Rate,2019,389.5238502250611,483.66689589545405,311.8384443112759
DALYs (Disability-Adjusted Life Years),North Macedonia,Both,Age-standardized,Asthma,Rate,2019,234.58535892478386,335.1847465193105,163.11896514821348
DALYs (Disability-Adjusted Life Years),Greece,Both,Age-standardized,Asthma,Rate,2019,212.90538804713535,320.5843408085227,137.75600612800247
DALYs (Disability-Adjusted Life Years),Malaysia,Both,Age-standardized,Asthma,Rate,1990,531.0407805865106,623.8447398012372,439.85735251708473
